Round,Expected Reward,Regret,Real Reward,Cumulative Expected Reward,Cumulative Regret,Cumulative Real Reward,exploration_parameter
21,1.0862683409875498,0.0,1.0901314898426488,29.84633818079167,0.0,29.903234168808456,0.1
22,1.0651698118306139,0.0,1.086109590010186,30.91150799262228,0.0,30.989343758818627,0.1
23,1.043354217700382,0.0,1.0221402686770835,31.95486221032261,0.0,32.011484027495726,0.1
24,1.0224892793891724,0.0,0.9946388463510459,32.9773514897118,0.0,33.0061228738468,0.1
25,1.0014032440925789,0.0,1.0394460005156327,33.97875473380437,0.0,34.045568874362374,0.1
26,0.9801801848814721,0.0,1.0246792615414007,34.95893491868594,0.0,35.07024813590378,0.1
27,0.9593779843367336,0.0,0.9224965210966082,35.91831290302257,0.0,35.99274465700037,0.1
28,0.9385266117866994,0.0,0.9804819989913469,36.85683951480933,0.0,36.97322665599182,0.1
29,0.9170841693424024,0.0,0.9474015273330787,37.77392368415165,0.0,37.92062818332488,0.1
0,1.8614554986479523,0.0,1.8422761939640944,1.8614554986479523,0.0,1.8422761939640944,0.2
1,1.7327710534333753,0.0,1.7260044142886424,3.594226552081327,0.0,3.568280608252775,0.2
2,1.653289422400732,0.0,1.6384649966691072,5.2475159744820585,0.0,5.206745604921877,0.2
3,1.5925151158050903,0.0,1.6072766586768303,6.840031090287162,0.0,6.814022263598695,0.2
4,1.5467913158427264,0.0,1.5763674407782757,8.386822406129877,0.0,8.390389704376982,0.2
5,1.506963597692897,0.0,1.498312016806716,9.89378600382279,0.0,9.888701721183711,0.2
6,1.4707552140879971,0.0,1.4421401259250362,11.364541217910789,0.0,11.33084184710872,0.2
7,1.4380541745602806,0.0,1.4282624576631207,12.80259539247103,0.0,12.759104304771824,0.2
8,1.4075540509202626,0.0,1.3645800942368016,14.210149443391279,0.0,14.123684399008674,0.2
9,1.3792549227124218,0.0,1.3810811970941754,15.589404366103743,0.0,15.504765596102844,0.2
10,1.352441104962984,0.0,1.3107588035554458,16.941845471066692,0.0,16.815524399658255,0.2
11,1.3268685384089822,0.0,1.3301646435593912,18.268714009475698,0.0,18.14568904321765,0.2
12,1.302108110743335,0.0,1.3088444486054882,19.570822120219027,0.0,19.45453349182314,0.2
