Method,Round,Expected Reward,Regret,Real Reward,Cumulated Expected Reward,Cumulated Regret,Cumulated Real Reward
Expected Reward,20,1.7342765309697814,0.0,1.7244219783576886,41.30315352420423,0.0,41.311917106198166
Expected Reward,21,1.7190230066605297,0.0,1.7522157627745563,43.02217653086474,0.0,43.06413286897266
Expected Reward,22,1.7029616368561404,0.0,1.7177295763534113,44.72513816772091,0.0,44.78186244532596
Expected Reward,23,1.6878039438466836,0.0,1.728358771049214,46.41294211156752,0.0,46.510221216375164
Expected Reward,24,1.6731614733899651,0.0,1.5985663035599356,48.08610358495767,0.0,48.10878751993504
Expected Reward,25,1.6591753627032524,0.0,1.6591306611778731,49.74527894766083,0.0,49.76791818111298
Expected Reward,26,1.6451450972627844,0.0,1.6504831964804527,51.390424044923485,0.0,51.418401377593476
Expected Reward,27,1.6315167239064832,0.0,1.653436800957831,53.02194076883002,0.0,53.07183817855134
Expected Reward,28,1.6177652637640352,0.0,1.633378779160039,54.639706032594084,0.0,54.705216957711336
Expected Reward,29,1.604302083769677,0.0,1.5752257595046077,56.244008116363844,0.0,56.28044271721598
Expected Reward MLE,0,0.9032880451793985,1.5015744269233562,0.8955951860571774,0.9032880451793985,1.5015744269233562,0.8955951860571774
Expected Reward MLE,1,1.1267699793723989,1.2766969723412436,1.1936829968976368,2.0300580245518005,2.7782713992646046,2.08927818295482
Expected Reward MLE,2,1.2328031603403304,1.167596036370152,1.2300793500665914,3.2628611848921265,3.9458674356347476,3.319357533021392
Expected Reward MLE,3,1.3466422504962492,1.0501254104439857,1.3569871678004497,4.609503435388377,4.995992846078732,4.676344700821845
Expected Reward MLE,4,1.425695003807875,0.9649532975852441,1.4382189662283857,6.035198439196259,5.96094614366399,6.114563667050244
Expected Reward MLE,5,1.5204038273348737,0.8636504619163973,1.5363575205889235,7.555602266531105,6.82459660558038,7.650921187639173
Expected Reward MLE,6,1.5641892127282284,0.8116961309588728,1.5725389496491282,9.119791479259366,7.636292736539246,9.223460137288292
Expected Reward MLE,7,1.6192357892173885,0.7478303178728694,1.6666563476256473,10.739027268476757,8.38412305441211,10.890116484913941
