Method,Round,Expected Reward,Regret,Real Reward,Cumulated Expected Reward,Cumulated Regret,Cumulated Real Reward
Expected Reward,0,3.2168424282291217,0.0,3.745796180564861,3.2168424282291217,0.0,3.745796180564861
Expected Reward,1,3.2168424282291217,0.0,0.0,6.433684856458243,0.0,3.745796180564861
Expected Reward,2,3.2168424282291217,0.0,3.745796180564861,9.650527284687366,0.0,7.491592361129722
Expected Reward,3,3.2168424282291217,0.0,3.745796180564861,12.867369712916487,0.0,11.237388541694584
Expected Reward,4,3.2168424282291217,0.0,3.745796180564861,16.08421214114561,0.0,14.983184722259445
Expected Reward,5,3.2168424282291217,0.0,0.0,19.30105456937473,0.0,14.983184722259445
Expected Reward,6,3.2168424282291217,0.0,3.745796180564861,22.517896997603852,0.0,18.728980902824304
Expected Reward,7,3.2168424282291217,0.0,3.745796180564861,25.734739425832974,0.0,22.474777083389164
Expected Reward,8,3.2168424282291217,0.0,3.745796180564861,28.951581854062095,0.0,26.220573263954023
Expected Reward,9,3.2168424282291217,0.0,3.745796180564861,32.16842428229122,0.0,29.966369444518882
Expected Reward,10,3.2168424282291217,0.0,3.745796180564861,35.38526671052034,0.0,33.71216562508374
Expected Reward,11,3.2168424282291217,0.0,0.0,38.60210913874946,0.0,33.71216562508374
Expected Reward,12,3.2168424282291217,0.0,3.745796180564861,41.81895156697858,0.0,37.4579618056486
Expected Reward,13,3.2168424282291217,0.0,3.745796180564861,45.035793995207705,0.0,41.20375798621346
Expected Reward,14,3.2168424282291217,0.0,3.745796180564861,48.252636423436826,0.0,44.94955416677832
Expected Reward,15,3.2168424282291217,0.0,3.745796180564861,51.46947885166595,0.0,48.69535034734318
Expected Reward,16,3.2168424282291217,0.0,3.745796180564861,54.68632127989507,0.0,52.44114652790804
Expected Reward,17,3.2168424282291217,0.0,3.745796180564861,57.90316370812419,0.0,56.1869427084729
Expected Reward,18,3.2168424282291217,0.0,3.745796180564861,61.12000613635331,0.0,59.93273888903776
Expected Reward,19,3.2168424282291217,0.0,0.0,64.33684856458244,0.0,59.93273888903776
Expected Reward,20,3.2168424282291217,0.0,3.745796180564861,67.55369099281157,0.0,63.67853506960262
Expected Reward,21,3.2168424282291217,0.0,3.745796180564861,70.7705334210407,0.0,67.42433125016748
Expected Reward,22,3.2168424282291217,0.0,3.745796180564861,73.98737584926982,0.0,71.17012743073235
Expected Reward,23,3.2168424282291217,0.0,3.745796180564861,77.20421827749895,0.0,74.91592361129722
Expected Reward,24,3.2168424282291217,0.0,3.745796180564861,80.42106070572808,0.0,78.66171979186208
Expected Reward,25,3.2168424282291217,0.0,3.745796180564861,83.63790313395721,0.0,82.40751597242695
Expected Reward,26,3.2168424282291217,0.0,3.745796180564861,86.85474556218634,0.0,86.15331215299182
Expected Reward,27,3.2168424282291217,0.0,3.745796180564861,90.07158799041547,0.0,89.89910833355668
Expected Reward,28,3.2168424282291217,0.0,3.745796180564861,93.2884304186446,0.0,93.64490451412155
Expected Reward,29,3.2168424282291217,0.0,3.745796180564861,96.50527284687372,0.0,97.39070069468642
Expected Reward,30,3.2168424282291217,0.0,3.745796180564861,99.72211527510285,0.0,101.13649687525128
Expected Reward,31,3.2168424282291217,0.0,3.745796180564861,102.93895770333198,0.0,104.88229305581615
Expected Reward,32,3.2168424282291217,0.0,3.745796180564861,106.15580013156111,0.0,108.62808923638102
Expected Reward,33,3.2168424282291217,0.0,3.745796180564861,109.37264255979024,0.0,112.37388541694588
Expected Reward,34,3.2168424282291217,0.0,3.745796180564861,112.58948498801936,0.0,116.11968159751075
Expected Reward,35,3.2168424282291217,0.0,3.745796180564861,115.8063274162485,0.0,119.86547777807561
Expected Reward,36,3.2168424282291217,0.0,3.745796180564861,119.02316984447762,0.0,123.61127395864048
Expected Reward,37,3.2168424282291217,0.0,0.0,122.24001227270675,0.0,123.61127395864048
Expected Reward,38,3.2168424282291217,0.0,0.0,125.45685470093588,0.0,123.61127395864048
Expected Reward,39,3.2168424282291217,0.0,3.745796180564861,128.673697129165,0.0,127.35707013920535
Expected Reward,40,3.2168424282291217,0.0,0.0,131.8905395573941,0.0,127.35707013920535
Expected Reward,41,3.2168424282291217,0.0,3.745796180564861,135.10738198562322,0.0,131.10286631977021
Expected Reward,42,3.2168424282291217,0.0,3.745796180564861,138.32422441385233,0.0,134.84866250033508
Expected Reward,43,3.2168424282291217,0.0,3.745796180564861,141.54106684208145,0.0,138.59445868089995
Expected Reward,44,3.2168424282291217,0.0,0.0,144.75790927031056,0.0,138.59445868089995
Expected Reward,45,3.2168424282291217,0.0,3.745796180564861,147.97475169853968,0.0,142.3402548614648
Expected Reward,46,3.2168424282291217,0.0,3.745796180564861,151.1915941267688,0.0,146.08605104202968
Expected Reward,47,3.2168424282291217,0.0,3.745796180564861,154.4084365549979,0.0,149.83184722259455
Expected Reward,48,3.2168424282291217,0.0,3.745796180564861,157.62527898322702,0.0,153.5776434031594
Expected Reward,49,3.2168424282291217,0.0,3.745796180564861,160.84212141145613,0.0,157.32343958372428
Expected Reward MLE,0,0.2747921026504975,2.942050325578624,0.0,0.2747921026504975,2.942050325578624,0.0
Expected Reward MLE,1,2.7495577955792303,0.4672846326498914,4.278137013662329,3.024349898229728,3.4093349582285155,4.278137013662329
Expected Reward MLE,2,2.7495577955792303,0.4672846326498914,4.278137013662329,5.773907693808958,3.876619590878407,8.556274027324658
Expected Reward MLE,3,2.7495577955792303,0.4672846326498914,4.278137013662329,8.523465489388188,4.343904223528298,12.834411040986987
