Method,Round,Expected Reward,Regret,Real Reward
Expected Reward,34,1.499865099867832,0.0,1.5579491514438097
Expected Reward,35,1.4942834808055951,0.0,1.4344167057060635
Expected Reward,36,1.4871209201144722,0.0,1.7104764992077996
Expected Reward,37,1.4799191128551634,0.0,1.2882566624521663
Expected Reward,38,1.4738467092497092,0.0,1.2170139174230263
Expected Reward,39,1.4679907405568922,0.0,1.4403757033384026
Expected Reward,40,1.4616976810550828,0.0,1.3354341756361054
Expected Reward,41,1.4580107022105058,0.0,2.001852919811485
Expected Reward,42,1.450693786942401,0.0,1.379781388006901
Expected Reward,43,1.4457072716320487,0.0,1.488631587138046
Expected Reward,44,1.4405612140414517,0.0,0.9781547259091194
Expected Reward,45,1.436646821990202,0.0,1.7424100826424855
Expected Reward,46,1.4310194911968965,0.0,1.6592229104570333
Expected Reward,47,1.4252963174202455,0.0,1.620997946319504
Expected Reward,48,1.4199553167355932,0.0,1.4902836527084118
Expected Reward,49,1.4124510333737526,0.0,1.635880544638239
Expected Reward,50,1.408721020120611,0.0,1.4750149567046618
Expected Reward,51,1.4046159288247912,0.0,1.4373892817044536
Expected Reward,52,1.3980839105712672,0.0,1.1717127854860776
Expected Reward,53,1.3939254479521102,0.0,1.455873905395978
Expected Reward,54,1.389776508379425,0.0,1.4123888216295102
Expected Reward,55,1.3853849420854691,0.0,1.6608538981032597
Expected Reward,56,1.3799863664053607,0.0,1.2997851884313667
Expected Reward,57,1.3742876792837861,0.0,1.3348350511740668
Expected Reward,58,1.368481109587676,0.0,1.2717934532689303
Expected Reward,59,1.3636414325037944,0.0,1.1430030236087176
Expected Reward,60,1.3566438795880758,0.0,1.0364532392663903
Expected Reward,61,1.35001764377784,0.0,1.3618165287085267
Expected Reward,62,1.3455762365797193,0.0,1.315577271973546
Expected Reward,63,1.3409674859527343,0.0,1.603226862380382
Expected Reward,64,1.3375797511121033,0.0,1.4025724104710777
Expected Reward,65,1.3328278892574872,0.0,1.2967987754178145
Expected Reward,66,1.328336876303607,0.0,1.4470812290730815
Expected Reward,67,1.3240311496052102,0.0,1.6597757070725736
Expected Reward,68,1.3207964867124973,0.0,0.9211091737444943
Expected Reward,69,1.315347409508308,0.0,0.9547142810490878
Expected Reward,70,1.3110300181942598,0.0,0.9262029946068502
Expected Reward,71,1.3059377279350068,0.0,1.0736804589452267
Expected Reward,72,1.3004789831127823,0.0,1.3466149164909926
Expected Reward,73,1.2952960969259286,0.0,0.914845284085734
Expected Reward,74,1.2914026141996453,0.0,1.044757603692382
Expected Reward,75,1.2871956713388315,0.0,1.435013826950731
Expected Reward,76,1.2828070374860292,0.0,1.1528866804938172
Expected Reward,77,1.279214084290185,0.0,1.276368094755038
Expected Reward,78,1.274724216548284,0.0,1.438951151120553
Expected Reward,79,1.2695922180458485,0.0,1.4626610792615067
Expected Reward,80,1.2639865605500036,0.0,1.2378958714593276
Expected Reward,81,1.2594805548119148,0.0,1.1237200075663238
Expected Reward,82,1.2559431739112854,0.0,0.8755652353592414
Expected Reward,83,1.2517848272415042,0.0,0.8932134675184399
Expected Reward,84,1.2461779480636672,0.0,1.7240621736918529
Expected Reward,85,1.2408347191919589,0.0,1.1876786443496306
Expected Reward,86,1.2372385777470363,0.0,1.1099336224694367
Expected Reward,87,1.2331092790565767,0.0,1.0698652079034352
Expected Reward,88,1.229725142972269,0.0,1.1715650371675794
Expected Reward,89,1.225553688317923,0.0,1.1487982458134927
Expected Reward,90,1.2215787930267683,0.0,1.5047158432306227
Expected Reward,91,1.2177823105930619,0.0,1.3392947149737873
Expected Reward,92,1.2136677804971263,0.0,1.2703168780950813
Expected Reward,93,1.2095186173226942,0.0,1.2750453248483367
Expected Reward,94,1.203916943217559,0.0,1.157530821052204
Expected Reward,95,1.198748208613877,0.0,1.1748231487989347
Expected Reward,96,1.1947115795258414,0.0,1.3295629011032126
Expected Reward,97,1.1892887351338075,0.0,1.1338373665418653
Expected Reward,98,1.1837528225034448,0.0,1.6179638866155175
Expected Reward,99,1.178578057679677,0.0,1.182947737287265
Expected Reward MLE,0,0.7244776999978686,1.428416590345214,0.6633306380413454
Expected Reward MLE,1,0.8726601624525689,1.2802341278905134,1.086946867167961
Expected Reward MLE,2,1.04654251920263,1.106351771140452,1.111018782414573
Expected Reward MLE,3,1.2049159895985848,0.9479783007444974,1.269951673837614
Expected Reward MLE,4,1.255935018807254,0.8969592715358288,1.2661517152105648
Expected Reward MLE,5,1.4538654512266975,0.6936248765296116,1.3427223121918923
Expected Reward MLE,6,1.4897736055400281,0.6564730710360085,1.7833979012417274
Expected Reward MLE,7,1.5573908340773628,0.5820940786292927,1.595702037683824
Expected Reward MLE,8,1.4581691304263722,0.6695102991979217,1.4938655706611916
Expected Reward MLE,9,1.4947622142324934,0.6328722025675511,1.3210440611952392
Expected Reward MLE,10,1.3701774350318972,0.7538018338987998,1.031158583528886
Expected Reward MLE,11,1.6123098104022993,0.511669458528398,1.6646141893156217
Expected Reward MLE,12,1.580499551477002,0.5383209969482402,1.3346839146770377
Expected Reward MLE,13,1.604578041850786,0.509826594464661,1.3419306412583667
Expected Reward MLE,14,1.6854765469133477,0.41269026785435586,1.6869540188079593
Expected Reward MLE,15,1.6479789462546832,0.44857659779001274,1.361035680157733
Expected Reward MLE,16,1.6332521923716314,0.4550200147311144,1.5217911462799705
Expected Reward MLE,17,1.6177787393674659,0.46569941743700893,1.725813982817464
Expected Reward MLE,18,1.629172450234311,0.45085658040147414,1.7234716791021936
Expected Reward MLE,19,1.5802318131994004,0.4914932834733236,1.3980697693633322
Expected Reward MLE,20,1.6168377670650629,0.4538409852175207,1.7750849097424934
Expected Reward MLE,21,1.5514834022059312,0.5175152899140814,1.0545335710738009
Expected Reward MLE,22,1.6165258157078426,0.44796236079540375,1.3635344460776537
Expected Reward MLE,23,1.5508160902168133,0.5109718455296789,1.4238621493259667
Expected Reward MLE,24,1.564663826084932,0.49342975634805286,1.3046874787516303
Expected Reward MLE,25,1.5224581807557447,0.53154527212316,1.4315188656198252
Expected Reward MLE,26,1.5854440888149388,0.4681760292755175,1.2011587476756336
Expected Reward MLE,27,1.6353089826639422,0.4163152069186989,1.5767750478932248
Expected Reward MLE,28,1.586141286293973,0.46434368198098414,1.9020516283974012
Expected Reward MLE,29,1.6732539820316885,0.36888901858900336,1.1878477993226115
Expected Reward MLE,30,1.5787342089628091,0.44844436342092386,1.6249563891403653
Expected Reward MLE,31,1.5176323301862884,0.5077003031010767,1.4041042450304926
Expected Reward MLE,32,1.5303232186720868,0.48699244795776103,1.3341876260913852
Expected Reward MLE,33,1.5476997735990703,0.469615893030778,1.6126272262992232
Expected Reward MLE,34,1.5227687523637061,0.4882879642439196,1.222560809778816
Expected Reward MLE,35,1.53978179793165,0.46566554161558243,1.6193821863258446
Expected Reward MLE,36,1.5435329706028993,0.46191436894433247,1.6355420054374832
Expected Reward MLE,37,1.6364119504169186,0.3690353891303135,1.4879055008240039
Expected Reward MLE,38,1.5041706961678103,0.49278698812009664,1.6701989527837318
Expected Reward MLE,39,1.4860932374711402,0.5093715312228295,1.508361301799987
Expected Reward MLE,40,1.554202652567524,0.4401975766924435,1.7741642484635356
Expected Reward MLE,41,1.5372365089429472,0.45626356392448847,1.259618821816431
Expected Reward MLE,42,1.61328543102801,0.37292355640056,1.5579146851089047
Expected Reward MLE,43,1.5232996468013726,0.4543481655594727,1.5358652368954853
Expected Reward MLE,44,1.532767845653148,0.43207364491498956,1.3900163347230994
Expected Reward MLE,45,1.5109247761076658,0.4500654496299114,1.5811743673054284
Expected Reward MLE,46,1.517077747207153,0.4405949396258021,1.7034842325629205
Expected Reward MLE,47,1.5285371627702606,0.4291355240626941,1.3970270352986918
Expected Reward MLE,48,1.5433262270040222,0.40660031441123123,1.878512026627312
Expected Reward MLE,49,1.4677408238862353,0.4720012248968116,1.4001998764956538
Expected Reward MLE,50,1.5017920866341792,0.43597684105067674,1.344230259510764
Expected Reward MLE,51,1.4222218074406279,0.5068489794583532,1.3678533453274033
Expected Reward MLE,52,1.520463275760494,0.408607511138487,1.6588955981905573
Expected Reward MLE,53,1.4399384236445134,0.4747079074768132,1.2060398307786242
Expected Reward MLE,54,1.4999332526206648,0.41184762975266836,1.3698989804282655
Expected Reward MLE,55,1.5192692612658247,0.39251162110750853,1.673757481374342
Expected Reward MLE,56,1.5021251256284929,0.3973235532653293,1.708316952007047
Expected Reward MLE,57,1.5008775792584985,0.39526797296886224,1.3747331197916361
Expected Reward MLE,58,1.496038225102364,0.3864874115897536,1.1010952610112705
Expected Reward MLE,59,1.581366245231603,0.2858913757116898,1.6042397116979041
