Round,Expected Reward,Regret,Real Reward,exploration_parameter
0,0.7738768770285325,0.8849033302884909,0.7107678190170418,0.01
1,0.8497296334302495,0.8090505738867735,0.7567245886853253,0.01
2,0.8459529139494522,0.8128272933675704,0.8577464026601161,0.01
3,0.9136968242043563,0.7450833831126666,0.804738254159508,0.01
4,0.8616185643455306,0.797161642971492,0.7609522932912658,0.01
5,0.9285327264868042,0.7302474808302186,1.1070138249858383,0.01
6,0.9258291354345018,0.7329510718825213,1.045577494683333,0.01
7,1.0152635465465745,0.6435166607704481,0.9157771928530747,0.01
8,0.9902835982178461,0.6684966090991769,0.8927679711477103,0.01
9,0.9943553972181043,0.6644248100989185,1.0971765241767324,0.01
10,0.9277219578502794,0.731058249466744,0.9832804929509245,0.01
11,1.0261183902514872,0.6326618170655357,1.0176938844579053,0.01
12,1.063651235424254,0.5951289718927688,1.0702253920929048,0.01
13,1.033876541326997,0.6249036659900258,0.9963113733184724,0.01
14,1.082515427862454,0.5762647794545686,0.9770698627110918,0.01
15,1.0994008057864795,0.5593794015305438,1.4330917314595533,0.01
16,1.0976617601722238,0.5611184471447996,0.8896037628464432,0.01
17,1.100341100275071,0.5584391070419522,1.1267812645698916,0.01
18,1.0972026791291931,0.5615775281878299,0.8880268432475851,0.01
19,1.113910777844992,0.5448694294720311,1.0372944014493521,0.01
20,1.0467610178281745,0.612019189488849,1.0103291019396303,0.01
21,1.1099058048476704,0.5488744024693524,1.1296395981096006,0.01
22,1.1511013735411932,0.5076788337758298,1.1641358003237954,0.01
23,1.1963185706630148,0.46246163665400813,1.1744042155761676,0.01
24,1.1728914324808732,0.48588877483614995,0.9890276021916635,0.01
25,1.1902100802032798,0.4685701271137435,1.2160807152761852,0.01
26,1.1440454623061678,0.5147347450108556,1.0183572104356666,0.01
27,1.2135104505310632,0.4452697567859603,1.2409750193051838,0.01
28,1.1927829997213706,0.4659972075956524,1.2601466964628485,0.01
29,1.1980075069607339,0.4607727003562895,1.211976788493988,0.01
30,1.2411746429415649,0.41760556437545865,1.3203025918007838,0.01
31,1.1959938352725195,0.46278637204450424,1.0914304897618696,0.01
32,1.2172525853726195,0.44152762194440354,1.4023040139207854,0.01
33,1.19925018524587,0.4595300220711529,1.2291115396649548,0.01
34,1.2572648783007265,0.40151532901629666,1.114580169190829,0.01
35,1.231937013783733,0.42684319353329025,1.1322449691171195,0.01
36,1.2969321843254826,0.36184802299154034,1.4131219892216464,0.01
37,1.2672205977678448,0.3915596095491785,1.2317596243943443,0.01
38,1.2407896867597217,0.417990520557302,1.3288486447849737,0.01
39,1.2517235088326053,0.407056698484418,1.2261374449226454,0.01
40,1.284630668831759,0.3741495384852638,1.131285145808614,0.01
41,1.2905976871478038,0.3681825201692193,1.4773332939992414,0.01
42,1.2681648032499901,0.3906154040670333,1.3567903598233033,0.01
43,1.278539201041361,0.38024100627566243,1.1847403140671784,0.01
44,1.2977113796595001,0.3610688276575233,1.3835371098736458,0.01
45,1.2857865402651134,0.3729936670519096,1.282690095720794,0.01
46,1.2821911885411796,0.3765890187758437,1.3004432318038153,0.01
47,1.2986818229019905,0.3600983844150327,1.2454910068875649,0.01
48,1.3233372844064848,0.33544292291053834,1.3770149535834804,0.01
49,1.3320371141271925,0.3267430931898306,1.466772098646363,0.01
0,0.7563040838770018,0.97276731028571,0.5410800660877524,0.05
1,0.7288445955561698,1.000226798606543,0.7795477811290688,0.05
2,0.795142188088708,0.9339292060740044,0.6716823752741172,0.05
3,0.9631629830109678,0.7659084111517445,1.0118734997607666,0.05
4,1.0066814183715551,0.7223899757911574,1.1948032928130834,0.05
5,0.8984244889670149,0.8306469051956973,0.85113955372717,0.05
6,0.9618108509209589,0.7672605432417535,0.8060826388466625,0.05
7,1.078107275794225,0.6509641183684874,1.1505586937441563,0.05
8,1.0137829740547684,0.7152884201079445,1.088297665947063,0.05
9,1.0650999967163677,0.6639713974463447,1.106029779177091,0.05
