Round,Expected Reward,Regret,Real Reward,exploration_parameter
0,1.2096069737526491,1.0461592882841046,1.2478557970362658,0.01
1,1.2352285388873274,1.020537723149426,1.2857257105240307,0.01
2,1.2805930012279976,0.9751732608087554,1.311872915921664,0.01
3,1.3141930998239044,0.941573162212848,1.3302089049662345,0.01
4,1.3591235959534789,0.8966426660832757,1.319733183864862,0.01
5,1.4008329890200224,0.854933273016732,1.3737802090284656,0.01
6,1.4191316120364674,0.8366346500002865,1.3719809098725122,0.01
7,1.416788278916288,0.8389779831204676,1.4828222176007735,0.01
8,1.4500932149727834,0.8056730470639695,1.3961771831129177,0.01
9,1.4680976516561761,0.7876686103805787,1.4084617398193737,0.01
10,1.5106077066793933,0.7451585553573621,1.5623206064538737,0.01
11,1.516872068031995,0.738894194004763,1.5541684888941896,0.01
12,1.5136391445198367,0.7421271175169185,1.5689615649506052,0.01
13,1.5427811358803687,0.7129851261563876,1.5188087973299218,0.01
14,1.5760267229123086,0.6797395391244455,1.5504739491887385,0.01
15,1.5885497319319017,0.6672165301048558,1.6417320631076007,0.01
16,1.618031639350347,0.6377346226864062,1.6481066082498028,0.01
17,1.6054680053007113,0.6502982567360437,1.5570222445765356,0.01
18,1.6109633123948095,0.6448029496419466,1.6097557367869952,0.01
19,1.633486155301238,0.6222801067355163,1.6204885247632699,0.01
0,1.168954201471791,1.050125044192565,1.1902274558449786,0.05
1,1.2439222498053746,0.9751569958589817,1.1662444020975609,0.05
2,1.2374584639666222,0.9816207816977313,1.2534227564585083,0.05
3,1.3065682257988016,0.9125110198655528,1.2774852633763376,0.05
4,1.317458053430933,0.9016211922334215,1.2923659930720455,0.05
5,1.3535045818607943,0.8655746638035612,1.330682406715984,0.05
6,1.3540981496221938,0.8649810960421588,1.340686639967188,0.05
7,1.3897005010474641,0.8293787446168895,1.3688461550983024,0.05
8,1.4134879468515542,0.8055912988128012,1.404997070967342,0.05
9,1.42619339070572,0.792885854958637,1.4208621422905705,0.05
10,1.4450393384257572,0.7740399072385984,1.518801673339954,0.05
11,1.4725293649516256,0.7465498807127291,1.4299801090923805,0.05
12,1.4738051424205334,0.7452741032438228,1.5004745934395445,0.05
13,1.5008376271144317,0.7182416185499262,1.5884063665253563,0.05
14,1.5118093581942724,0.7072698874700819,1.4683339868316323,0.05
15,1.5196225311227585,0.699456714541597,1.4799250561380317,0.05
16,1.5530061919212252,0.6660730537431316,1.5902971002891007,0.05
17,1.5768152739661179,0.6422639716982383,1.514916998319785,0.05
18,1.5814160904798797,0.6376631551844768,1.5485729612161097,0.05
19,1.5774974979693466,0.6415817476950091,1.6121340312834314,0.05
0,1.1403179456922135,1.0691502815421519,1.191687952519081,0.1
