Method,Round,Expected Reward,Regret,Real Reward
Expected Reward MLE,18,3.8638517260892384,0.8298476680842566,3.868616377210332
Expected Reward MLE,19,3.8638517260892384,0.8298476680842566,3.868616377210332
Epsilon Greedy,0,1.575400010840038,1.1056209660636895,1.6886880977732641
Epsilon Greedy,1,1.7094613069518911,0.9715596699518361,1.2808133485028301
Epsilon Greedy,2,1.5714377345102266,1.109583242393501,1.8484428717926114
Epsilon Greedy,3,1.9123324174404701,0.7686885594632568,1.7779931653558942
Epsilon Greedy,4,1.611262758647986,1.0697582182557412,1.7114525559920033
Epsilon Greedy,5,3.4205335001823505,0.9367230328269948,3.475482322066154
Epsilon Greedy,6,3.4983410815542215,0.8589154514551247,3.656960750108894
Epsilon Greedy,7,3.623487732283124,0.733768800726222,3.735561499711328
Epsilon Greedy,8,3.608968339659296,0.7482881933500498,3.5103277056023066
Epsilon Greedy,9,3.822766291157161,0.5344902418521842,3.9137705328479178
Epsilon Greedy,10,3.9151037155581903,0.7758762856224151,3.917411848467283
Epsilon Greedy,11,3.704911097307305,0.9860689038733013,3.707303082797254
Epsilon Greedy,12,3.833406863324515,0.8575731378560908,3.834817586525687
Epsilon Greedy,13,3.951127218042932,0.7398527831376736,3.952758502955702
Epsilon Greedy,14,3.8118832905189186,0.8790967106616868,3.81350874675286
Epsilon Greedy,15,3.99835250958371,0.6952907365299295,3.99843867861975
Epsilon Greedy,16,3.8951556153200406,0.7984876307935984,3.895208684723167
Epsilon Greedy,17,3.9880694556449705,0.7055737904686682,3.988123240274322
Epsilon Greedy,18,4.011551527507378,0.6820917186062608,4.011640262222089
Epsilon Greedy,19,3.85237682159104,0.841266424522599,3.852429859883216
Expected Reward UCB,0,1.2715135184610773,1.0369544419273162,1.1696659941033156
Expected Reward UCB,1,0.9744147927003375,1.3340531676880556,1.3770358259865947
Expected Reward UCB,2,1.0390543694712424,1.269413590917151,0.9730339972874115
Expected Reward UCB,3,1.3221113351996798,0.9863566251887133,1.6624738480596903
Expected Reward UCB,4,1.2446802911566748,1.0637876692317183,1.4512711692795
Expected Reward UCB,5,3.104666428255189,1.2908476187997258,3.2451680163603753
Expected Reward UCB,6,3.0732298385282277,1.3222842085266873,3.057245015756931
Expected Reward UCB,7,3.166972325553334,1.2285417215015808,3.082159561546992
Expected Reward UCB,8,3.1940512740937295,1.201462772961185,3.291234941014691
Expected Reward UCB,9,3.200828414324664,1.1946856327302504,3.3001857331928823
Expected Reward UCB,10,3.491354872079478,1.1970162337083707,3.5016331829604974
Expected Reward UCB,11,3.6097334929327616,1.0786376128550867,3.618226140697449
Expected Reward UCB,12,3.596052490904267,1.0923186148835815,3.6106467168586436
Expected Reward UCB,13,3.6101021973127123,1.0782689084751356,3.6167124031246978
